date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:36	10455/10455	---MC-	200	added ('OK')	application/javascript	etag:%22402058d-28d7-572eea72fe8e4%22	https://www.coloris.com.mx/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.9.1	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/plugins/contact-form-7/includes/js/scripts5859.js	(from https://www.coloris.com.mx/)
21:26:36	43523/43523	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:35%20GMT	https://www.coloris.com.mx/renta-de-impresoras-multifuncionales/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/renta-de-impresoras-multifuncionales/index.html	(from https://www.coloris.com.mx/)
21:26:36	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:36%20GMT	https://www.coloris.com.mx/wp-content/themes/enfold/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/index.html	(from https://www.coloris.com.mx/)
21:26:37	43640/43640	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2003:26:36%20GMT	https://www.coloris.com.mx/wp-content/themes/enfold/framework/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/framework/index.html	(from https://www.coloris.com.mx/)
21:26:39	20947/20947	---MC-	200	added ('OK')	application/javascript	etag:%2240213a2-51d3-526514efd8fc0%22	https://www.coloris.com.mx/wp-content/themes/enfold/js/aviapopup/jquery.magnific-popup.min.js?ver=4.1	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/js/aviapopup/jquery.magnific-popup.min2f54.js	(from https://www.coloris.com.mx/)
21:26:39	100664/100664	---MC-	200	added ('OK')	application/javascript	etag:%224021a01-18938-572ee878ef813%22	https://www.coloris.com.mx/wp-content/themes/enfold/js/shortcodes.js?ver=4.1	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/themes/enfold/js/shortcodes2f54.js	(from https://www.coloris.com.mx/)
21:26:39	914/914	---MC-	200	added ('OK')	application/javascript	etag:%22402058c-392-5725184a4e73b%22	https://www.coloris.com.mx/wp-includes/js/mediaelement/wp-mediaelement.min.js?ver=4.9.16	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-includes/js/mediaelement/wp-mediaelement.min8d9d.js	(from https://www.coloris.com.mx/)
21:26:40	1078/1078	---MC-	200	added ('OK')	application/javascript	etag:%224020594-436-524d577143400%22	https://www.coloris.com.mx/wp-includes/js/comment-reply.min.js?ver=4.9.16	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-includes/js/comment-reply.min8d9d.js	(from https://www.coloris.com.mx/)
21:26:40	1403/1403	---MC-	200	added ('OK')	application/javascript	etag:%224020626-57b-57cf9fa7ec4b5%22	https://www.coloris.com.mx/wp-includes/js/wp-embed.min.js?ver=4.9.16	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-includes/js/wp-embed.min8d9d.js	(from https://www.coloris.com.mx/)
21:26:41	9826/9826	---MC-	200	added ('OK')	image/png	etag:%224020289-2662-5736771dede63%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/Whatsapp-Icon_33936.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/Whatsapp-Icon_33936.png	(from https://www.coloris.com.mx/)
21:26:41	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22993e8bd4b18a8ce6e81a1c659f17e507%22	https://connect.facebook.net/es_ES/sdk.js	C:/Mis%20lugares%20Web/prueba/connect.facebook.net/es_ES/sdk.js	(from https://www.coloris.com.mx/)
